L	_	-	+	.	E	e	D	>	=	!	B	O	<	/	*	\
1	1	2	2	18	0	0	3	11	13	15	0	17	9	19	0	0
1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	4	6	6	3	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
0	0	0	0	0	6	6	5	0	0	0	0	0	0	0	0	0
0	0	7	7	0	0	0	8	0	0	0	7	0	0	0	0	7
0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	20	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
